Review Title,Customer name,Rating,Rating_Numeric,Date,Date_Parsed,Category,Comments,Useful,Helpful_Count,Review_Title_Clean,Comments_Clean,Combined_Text,Review_Title_Processed,Comments_Processed,Combined_Text_Processed,Text_Length,Word_Count
A compact power pack Device with great battery and a decent camera,kunal Sethi,5.0 out of 5 stars,5.0,on 20 September 2018,2018-09-20,Display,"This device feels great in hand because it is compact enough and doesn't feels bulky at all. Thanks to its notch display and 19:9 aspect ratio.
Directly coming to its pros and cons after 1 day of use. (will update soon)
Pros
1. Design - Compact design as compared to redmi note 5 pro. 5.84"" screen looks way too compact as compared to 6"" in note 5 pro. Design 9/10
2. Rear Camera - Rear Camera is fair enough. If note 5 pro is 20 then it's 19. It captures detailed image in good lights but struggles a bit in low light. Rating 8/10.
3. Audio 9/10
4. Looks like a typical Xiaomi Device. Still ok because it is having unibody metal design 8.5/10.
5. Price - Price of this device is fair in all aspects. 10/10

Cons
The only con I felt is front camera. If the camera would be at least 12 MP shooter then this deal would be great or I must say greatest.

For people who are confused between realme 2 and redmi 6 pro I would suggest them to buy redmi 6 pro.

Pls hit like if u thought this review was helpful.",2 people found this helpful,2,A compact power pack Device with great battery and a decent camera,This device feels great in hand because it is compact enough and doesn t feels bulky at all. Thanks to its notch display and 19 9 aspect ratio. Directly coming to its pros and cons after 1 day of use. will update soon Pros 1. Design Compact design as compared to redmi note 5 pro. 5.84 screen looks way too compact as compared to 6 in note 5 pro. Design 9 10 2. Rear Camera Rear Camera is fair enough. If note 5 pro is 20 then it s 19. It captures detailed image in good lights but struggles a bit in low light. Rating 8 10. 3. Audio 9 10 4. Looks like a typical Xiaomi Device. Still ok because it is having unibody metal design 8.5 10. 5. Price Price of this device is fair in all aspects. 10 10 Cons The only con I felt is front camera. If the camera would be at least 12 MP shooter then this deal would be great or I must say greatest. For people who are confused between realme 2 and redmi 6 pro I would suggest them to buy redmi 6 pro. Pls hit like if u thought this review was helpful.,A compact power pack Device with great battery and a decent camera This device feels great in hand because it is compact enough and doesn t feels bulky at all. Thanks to its notch display and 19 9 aspect ratio. Directly coming to its pros and cons after 1 day of use. will update soon Pros 1. Design Compact design as compared to redmi note 5 pro. 5.84 screen looks way too compact as compared to 6 in note 5 pro. Design 9 10 2. Rear Camera Rear Camera is fair enough. If note 5 pro is 20 then it s 19. It captures detailed image in good lights but struggles a bit in low light. Rating 8 10. 3. Audio 9 10 4. Looks like a typical Xiaomi Device. Still ok because it is having unibody metal design 8.5 10. 5. Price Price of this device is fair in all aspects. 10 10 Cons The only con I felt is front camera. If the camera would be at least 12 MP shooter then this deal would be great or I must say greatest. For people who are confused between realme 2 and redmi 6 pro I would suggest them to buy redmi 6 pro. Pls hit like if u thought this review was helpful.,compact power pack device great battery decent camera,device feel great hand compact enough feel bulky thanks notch display aspect ratio directly coming pro con day use update soon pro design compact design compared redmi note pro 5.84 screen look way compact compared note pro design rear camera rear camera fair enough note pro 19. capture detailed image good light struggle bit low light rating audio look like typical xiaomi device still unibody metal design 8.5 price price device fair aspect con con felt front camera camera would least shooter deal would great must say greatest people confused realme redmi pro would suggest buy redmi pro pls hit like thought review helpful,compact power pack device great battery decent camera device feel great hand compact enough feel bulky thanks notch display aspect ratio directly coming pro con day use update soon pro design compact design compared redmi note pro 5.84 screen look way compact compared note pro design rear camera rear camera fair enough note pro 19. capture detailed image good light struggle bit low light rating audio look like typical xiaomi device still unibody metal design 8.5 price price device fair aspect con con felt front camera camera would least shooter deal would great must say greatest people confused realme redmi pro would suggest buy redmi pro pls hit like thought review helpful,1058,215
Good Phone but price HIGHER,MALLA TULASI SANKAR GANESH,4.0 out of 5 stars,4.0,on 15 September 2018,2018-09-15,Display,"Pros
Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand. Excellent Build Quality looks premium.
Cons
Outdated Snapdragon 625 processor, Rear Camera above average, Front camera below average, Speaker Sound is low,
Charger Cable length is shortened.
Recommend to buy if its price is 10000", ,0,Good Phone but price HIGHER,"Pros Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand. Excellent Build Quality looks premium. Cons Outdated Snapdragon 625 processor, Rear Camera above average, Front camera below average, Speaker Sound is low, Charger Cable length is shortened. Recommend to buy if its price is 10000","Good Phone but price HIGHER Pros Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand. Excellent Build Quality looks premium. Cons Outdated Snapdragon 625 processor, Rear Camera above average, Front camera below average, Speaker Sound is low, Charger Cable length is shortened. Recommend to buy if its price is 10000",good phone price higher,pro good display better battey performance proper phone size fit wallet hand excellent build quality look premium con outdated snapdragon 625 processor rear camera average front camera average speaker sound low charger cable length shortened recommend buy price 10000,good phone price higher pro good display better battey performance proper phone size fit wallet hand excellent build quality look premium con outdated snapdragon 625 processor rear camera average front camera average speaker sound low charger cable length shortened recommend buy price 10000,349,56
Best phone forever.,Manish Singh,5.0 out of 5 stars,5.0,on 18 September 2018,2018-09-18,Others,Best phone with face unlock full hd video recording and all latest features.,20 people found this helpful,20,Best phone forever.,Best phone with face unlock full hd video recording and all latest features.,Best phone forever. Best phone with face unlock full hd video recording and all latest features.,best phone forever,best phone face unlock full video recording latest feature,best phone forever best phone face unlock full video recording latest feature,96,16
"Not impressive, Y2 is better",Mudasar Nazar,2.0 out of 5 stars,2.0,on 18 September 2018,2018-09-18,Others,"Overall Phone seems to be good with performance perspective under this range category. Do not buy if you are looking for wider screen and thinner phone. I felt Y2 would have been better choice in the same range which I already brought one for the family.

Not satisfied with the looks, screen size and it is a fatty phone.", ,0,"Not impressive, Y2 is better","Overall Phone seems to be good with performance perspective under this range category. Do not buy if you are looking for wider screen and thinner phone. I felt Y2 would have been better choice in the same range which I already brought one for the family. Not satisfied with the looks, screen size and it is a fatty phone.","Not impressive, Y2 is better Overall Phone seems to be good with performance perspective under this range category. Do not buy if you are looking for wider screen and thinner phone. I felt Y2 would have been better choice in the same range which I already brought one for the family. Not satisfied with the looks, screen size and it is a fatty phone.",impressive better,overall phone seems good performance perspective range category buy looking wider screen thinner phone felt would better choice range already brought one family satisfied look screen size fatty phone,impressive better overall phone seems good performance perspective range category buy looking wider screen thinner phone felt would better choice range already brought one family satisfied look screen size fatty phone,350,64
"Very Terrible, Worst Smartphone.",Aniket Sidanale,1.0 out of 5 stars,1.0,on 19 September 2018,2018-09-19,Camera,"Looks is poor. Very bad Performance, Camera quality Totally Worst. Please everybody do not buy Redmi 6 pro. Go to Realme 2. I wasted my money.", ,0,"Very Terrible, Worst Smartphone.","Looks is poor. Very bad Performance, Camera quality Totally Worst. Please everybody do not buy Redmi 6 pro. Go to Realme 2. I wasted my money.","Very Terrible, Worst Smartphone. Looks is poor. Very bad Performance, Camera quality Totally Worst. Please everybody do not buy Redmi 6 pro. Go to Realme 2. I wasted my money.",terrible worst smartphone,look poor bad performance camera quality totally worst please everybody buy redmi pro realme wasted money,terrible worst smartphone look poor bad performance camera quality totally worst please everybody buy redmi pro realme wasted money,175,30
Don't buy this mobile mi 6 pro,Vasudevan,1.0 out of 5 stars,1.0,on 15 September 2018,2018-09-15,Display,"Very poor quality in front facing camera, and sound quality very poor, full display not working all apps, video clear videosnot good ,zoom photos not clear picture, rs 10999 not worth this mobile waste of many, return option not available this phone, return my phone please Amazon", ,0,Don t buy this mobile mi 6 pro,"Very poor quality in front facing camera, and sound quality very poor, full display not working all apps, video clear videosnot good ,zoom photos not clear picture, rs 10999 not worth this mobile waste of many, return option not available this phone, return my phone please Amazon","Don t buy this mobile mi 6 pro Very poor quality in front facing camera, and sound quality very poor, full display not working all apps, video clear videosnot good ,zoom photos not clear picture, rs 10999 not worth this mobile waste of many, return option not available this phone, return my phone please Amazon",buy mobile pro,poor quality front facing camera sound quality poor full display working apps video clear videosnot good zoom photo clear picture 10999 worth mobile waste many return option available phone return phone please amazon,buy mobile pro poor quality front facing camera sound quality poor full display working apps video clear videosnot good zoom photo clear picture 10999 worth mobile waste many return option available phone return phone please amazon,311,55
Good phone,Vaibhav Agarwal,5.0 out of 5 stars,5.0,on 17 September 2018,2018-09-17,Others,I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phone and cover quality,3 people found this helpful,3,Good phone,I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phone and cover quality,Good phone I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phone and cover quality,good phone,loved fact lenovo gave nice transparent back cover happy phone cover quality,good phone loved fact lenovo gave nice transparent back cover happy phone cover quality,123,23
Disappointed.,Dinesh Kumar P,1.0 out of 5 stars,1.0,on 18 September 2018,2018-09-18,Battery,"Worst, don't go for it. Performance wise, camera wise, battery wise waste. Please go for any other good brand. In second time replacement also having the same front camera portrait issue, totally waste, audio quality is too low to audible.", ,0,Disappointed.,"Worst, don t go for it. Performance wise, camera wise, battery wise waste. Please go for any other good brand. In second time replacement also having the same front camera portrait issue, totally waste, audio quality is too low to audible.","Disappointed. Worst, don t go for it. Performance wise, camera wise, battery wise waste. Please go for any other good brand. In second time replacement also having the same front camera portrait issue, totally waste, audio quality is too low to audible.",disappointed,worst performance wise camera wise battery wise waste please good brand second time replacement also front camera portrait issue totally waste audio quality low audible,disappointed worst performance wise camera wise battery wise waste please good brand second time replacement also front camera portrait issue totally waste audio quality low audible,253,42
dont buy these product. these copy of the product,KHAN SONU RAFI AHMED,1.0 out of 5 stars,1.0,on 22 September 2018,2018-09-22,Others,"Please don't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.", ,0,dont buy these product. these copy of the product,"Please don t buy these product.. I have 3 mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.","dont buy these product. these copy of the product Please don t buy these product.. I have 3 mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.",dont buy product copy product,please buy product mobile face type issue mobile data getting automatically thing happening wifi hot spot bluetooth handset behaving like cheap quality think duplicate copy original handset,dont buy product copy product please buy product mobile face type issue mobile data getting automatically thing happening wifi hot spot bluetooth handset behaving like cheap quality think duplicate copy original handset,341,62
average phone,sarfaraz alam,3.0 out of 5 stars,3.0,on 25 September 2018,2018-09-25,Battery,"after using two weeks i just analyse that it is a average phone in this price catagory. price should not be more than 10,000/- for this phone.
here i analyse some pros and cons of this phone after countinious using of this phone.
PROS:-
1.screen resolution is preety good 1080 x 2280 pixels, colours contrast also very impressive.
2.two days battery backup if you not playing heavy games on it like PUBG.
3.Snapdragon 625 is old but till now it's performance is awsm ,you did not face any lag in games in low graphic setting.
4.camera pictures quality is good, also portrait mode captures the good depth effect in photos but only in Day light condition in night you will face high noice in pictures
5.front facing camera also have AI depth effect it not too much good but you can take good selfy in day light condition.
6.process optimization in this phone is good.
7.there are a little notch which increase the looks and design of phone.
CONS:-
1.one thing i hate in this phone is its notifaction bar, you will not get all notification on top bar, every time you need to scroll down the ntification bar to see app notifications. net speed meter is also not shown and no whatsapp icon notification on the top of the bar. because of the notch on the screen. Mi company should needs to fix these minaor issues by new updatess.
2.Downloading process in background is little bit slow in this phone as compare to other redmi phones.
3. video recording quality of this phone is not good.
4.only 5MP front facing camera and quality is very average. in this price segment there are many phones avilabe which have better front cameras.", ,0,average phone,"after using two weeks i just analyse that it is a average phone in this price catagory. price should not be more than 10,000 for this phone. here i analyse some pros and cons of this phone after countinious using of this phone. PROS 1.screen resolution is preety good 1080 x 2280 pixels, colours contrast also very impressive. 2.two days battery backup if you not playing heavy games on it like PUBG. 3.Snapdragon 625 is old but till now it s performance is awsm ,you did not face any lag in games in low graphic setting. 4.camera pictures quality is good, also portrait mode captures the good depth effect in photos but only in Day light condition in night you will face high noice in pictures 5.front facing camera also have AI depth effect it not too much good but you can take good selfy in day light condition. 6.process optimization in this phone is good. 7.there are a little notch which increase the looks and design of phone. CONS 1.one thing i hate in this phone is its notifaction bar, you will not get all notification on top bar, every time you need to scroll down the ntification bar to see app notifications. net speed meter is also not shown and no whatsapp icon notification on the top of the bar. because of the notch on the screen. Mi company should needs to fix these minaor issues by new updatess. 2.Downloading process in background is little bit slow in this phone as compare to other redmi phones. 3. video recording quality of this phone is not good. 4.only 5MP front facing camera and quality is very average. in this price segment there are many phones avilabe which have better front cameras.","average phone after using two weeks i just analyse that it is a average phone in this price catagory. price should not be more than 10,000 for this phone. here i analyse some pros and cons of this phone after countinious using of this phone. PROS 1.screen resolution is preety good 1080 x 2280 pixels, colours contrast also very impressive. 2.two days battery backup if you not playing heavy games on it like PUBG. 3.Snapdragon 625 is old but till now it s performance is awsm ,you did not face any lag in games in low graphic setting. 4.camera pictures quality is good, also portrait mode captures the good depth effect in photos but only in Day light condition in night you will face high noice in pictures 5.front facing camera also have AI depth effect it not too much good but you can take good selfy in day light condition. 6.process optimization in this phone is good. 7.there are a little notch which increase the looks and design of phone. CONS 1.one thing i hate in this phone is its notifaction bar, you will not get all notification on top bar, every time you need to scroll down the ntification bar to see app notifications. net speed meter is also not shown and no whatsapp icon notification on the top of the bar. because of the notch on the screen. Mi company should needs to fix these minaor issues by new updatess. 2.Downloading process in background is little bit slow in this phone as compare to other redmi phones. 3. video recording quality of this phone is not good. 4.only 5MP front facing camera and quality is very average. in this price segment there are many phones avilabe which have better front cameras.",average phone,"using two week analyse average phone price catagory price 10,000 phone analyse pro con phone countinious using phone pro 1.screen resolution preety good 1080 2280 pixel colour contrast also impressive 2.two day battery backup playing heavy game like pubg 3.snapdragon 625 old till performance awsm face lag game low graphic setting 4.camera picture quality good also portrait mode capture good depth effect photo day light condition night face high noice picture 5.front facing camera also depth effect much good take good selfy day light condition 6.process optimization phone good 7.there little notch increase look design phone con 1.one thing hate phone notifaction bar get notification top bar every time need scroll ntification bar see app notification net speed meter also shown whatsapp icon notification top bar notch screen company need fix minaor issue new updatess 2.downloading process background little bit slow phone compare redmi phone video recording quality phone good 4.only 5mp front facing camera quality average price segment many phone avilabe better front camera","average phone using two week analyse average phone price catagory price 10,000 phone analyse pro con phone countinious using phone pro 1.screen resolution preety good 1080 2280 pixel colour contrast also impressive 2.two day battery backup playing heavy game like pubg 3.snapdragon 625 old till performance awsm face lag game low graphic setting 4.camera picture quality good also portrait mode capture good depth effect photo day light condition night face high noice picture 5.front facing camera also depth effect much good take good selfy day light condition 6.process optimization phone good 7.there little notch increase look design phone con 1.one thing hate phone notifaction bar get notification top bar every time need scroll ntification bar see app notification net speed meter also shown whatsapp icon notification top bar notch screen company need fix minaor issue new updatess 2.downloading process background little bit slow phone compare redmi phone video recording quality phone good 4.only 5mp front facing camera quality average price segment many phone avilabe better front camera",1634,294
"Bad experience ever battery% doesn't show.Low quality flash light, Sound very low..Nnot a metal",Subbhajit jana,1.0 out of 5 stars,1.0,on 19 September 2018,2018-09-19,Display,"Bad experience ever battery% doesn't show.Low quality flash light, Sound very low..Nnot a metal body.cheaper metal used Only Display quality is excellent... price should be 9000-9500.Damaged charger given Amazon is cheating people",,0,"Bad experience ever battery doesn t show.Low quality flash light, Sound very low..Nnot a metal","Bad experience ever battery doesn t show.Low quality flash light, Sound very low..Nnot a metal body.cheaper metal used Only Display quality is excellent... price should be 9000 9500.Damaged charger given Amazon is cheating people","Bad experience ever battery doesn t show.Low quality flash light, Sound very low..Nnot a metal Bad experience ever battery doesn t show.Low quality flash light, Sound very low..Nnot a metal body.cheaper metal used Only Display quality is excellent... price should be 9000 9500.Damaged charger given Amazon is cheating people",bad experience ever battery show.low quality flash light sound low nnot metal,bad experience ever battery show.low quality flash light sound low nnot metal body.cheaper metal used display quality excellent ... price 9000 9500.damaged charger given amazon cheating people,bad experience ever battery show.low quality flash light sound low nnot metal bad experience ever battery show.low quality flash light sound low nnot metal body.cheaper metal used display quality excellent ... price 9000 9500.damaged charger given amazon cheating people,324,49
"Redmi 6 pro looking good, better performance.",Sanu,5.0 out of 5 stars,5.0,on 25 September 2018,2018-09-25,Others,Good,,0,"Redmi 6 pro looking good, better performance.",Good,"Redmi 6 pro looking good, better performance. Good",redmi pro looking good better performance,good,redmi pro looking good better performance good,50,8
I love mi 6 pro,Anuj kr gupta,5.0 out of 5 stars,5.0,on 18 September 2018,2018-09-18,Battery,"Osm product
Amazon is better then flipkart I never buy on 1st sale of mi phones on flipkart but in Amazon I order 2 phones in 1st sale quickly
This phone is very good and it's battery backup is amazing I love it very much
And it's camera is very good quality",,0,I love mi 6 pro,Osm product Amazon is better then flipkart I never buy on 1st sale of mi phones on flipkart but in Amazon I order 2 phones in 1st sale quickly This phone is very good and it s battery backup is amazing I love it very much And it s camera is very good quality,I love mi 6 pro Osm product Amazon is better then flipkart I never buy on 1st sale of mi phones on flipkart but in Amazon I order 2 phones in 1st sale quickly This phone is very good and it s battery backup is amazing I love it very much And it s camera is very good quality,love pro,osm product amazon better flipkart never buy 1st sale phone flipkart amazon order phone 1st sale quickly phone good battery backup amazing love much camera good quality,love pro osm product amazon better flipkart never buy 1st sale phone flipkart amazon order phone 1st sale quickly phone good battery backup amazing love much camera good quality,274,59
Always Mi Best in Mobile ??,Manish Bavaliya ,5.0 out of 5 stars,5.0,on 15 September 2018,2018-09-15,Battery,"Very nice looking, slim, light weight, sound quality, battery back up... all factors are nice...MI 6 Pro is Nice mobile satisfied with prize and quality what I expected before purchasing.",,0,Always Mi Best in Mobile ??,"Very nice looking, slim, light weight, sound quality, battery back up... all factors are nice...MI 6 Pro is Nice mobile satisfied with prize and quality what I expected before purchasing.","Always Mi Best in Mobile ?? Very nice looking, slim, light weight, sound quality, battery back up... all factors are nice...MI 6 Pro is Nice mobile satisfied with prize and quality what I expected before purchasing.",always best mobile,nice looking slim light weight sound quality battery back ... factor nice ... pro nice mobile satisfied prize quality expected purchasing,always best mobile nice looking slim light weight sound quality battery back ... factor nice ... pro nice mobile satisfied prize quality expected purchasing,215,36
I am satisfying this phone,Jit saha,5.0 out of 5 stars,5.0,on 28 September 2018,2018-09-28,Others,Bettary so good,,0,I am satisfying this phone,Bettary so good,I am satisfying this phone Bettary so good,satisfying phone,bettary good,satisfying phone bettary good,42,8
excellent this redmi 6 Pro,Dalowar,5.0 out of 5 stars,5.0,on 20 September 2018,2018-09-20,Others,excellent this redmi 6 Pro so nice product of redmi product thank you for xiaomi,,0,excellent this redmi 6 Pro,excellent this redmi 6 Pro so nice product of redmi product thank you for xiaomi,excellent this redmi 6 Pro excellent this redmi 6 Pro so nice product of redmi product thank you for xiaomi,excellent redmi pro,excellent redmi pro nice product redmi product thank xiaomi,excellent redmi pro excellent redmi pro nice product redmi product thank xiaomi,107,20
It Hangs,Ranjeet,1.0 out of 5 stars,1.0,on 1 October 2018,2018-10-01,Others,"After using it for 10 days, I am writing it, this phone as well MI A2 Hangs, please do not purchase.",,0,It Hangs,"After using it for 10 days, I am writing it, this phone as well MI A2 Hangs, please do not purchase.","It Hangs After using it for 10 days, I am writing it, this phone as well MI A2 Hangs, please do not purchase.",hang,using day writing phone well hang please purchase,hang using day writing phone well hang please purchase,109,23
Value for money...,Amazon Customer,5.0 out of 5 stars,5.0,on 17 September 2018,2018-09-17,Camera,"Working good with Snapdragon 625 which is its best part. Camera is also good in this price range, camera clarity is good. Just go for it..",,0,Value for money...,"Working good with Snapdragon 625 which is its best part. Camera is also good in this price range, camera clarity is good. Just go for it..","Value for money... Working good with Snapdragon 625 which is its best part. Camera is also good in this price range, camera clarity is good. Just go for it..",value money ...,working good snapdragon 625 best part camera also good price range camera clarity good,value money ... working good snapdragon 625 best part camera also good price range camera clarity good,157,29
Rock u,KALINDI DEVI,5.0 out of 5 stars,5.0,on 15 September 2018,2018-09-15,Others,"Really nice one
Thankd",,0,Rock u,Really nice one Thankd,Rock u Really nice one Thankd,rock,really nice one thankd,rock really nice one thankd,29,6
Good for sharp use,Shankar,4.0 out of 5 stars,4.0,on 28 September 2018,2018-09-28,Others,Dislike snapdragon 425,,0,Good for sharp use,Dislike snapdragon 425,Good for sharp use Dislike snapdragon 425,good sharp use,dislike snapdragon 425,good sharp use dislike snapdragon 425,41,7
turn out amazing to be amazing worth it,Pranay chaudhari,5.0 out of 5 stars,5.0,on 26 September 2018,2018-09-26,Camera,"the camera is good, phone is fast overall work well in all department",2 people found this helpful,2,turn out amazing to be amazing worth it,"the camera is good, phone is fast overall work well in all department","turn out amazing to be amazing worth it the camera is good, phone is fast overall work well in all department",turn amazing amazing worth,camera good phone fast overall work well department,turn amazing amazing worth camera good phone fast overall work well department,109,21
Don't buy camera quality extreme poor.,shivam p.,1.0 out of 5 stars,1.0,on 20 September 2018,2018-09-20,Camera,"I got this product today camera both front and back are not upto mark.
Pixels are scattered. Please don't buy this phone just because u r getting it for 11k.", ,0,Don t buy camera quality extreme poor.,I got this product today camera both front and back are not upto mark. Pixels are scattered. Please don t buy this phone just because u r getting it for 11k.,Don t buy camera quality extreme poor. I got this product today camera both front and back are not upto mark. Pixels are scattered. Please don t buy this phone just because u r getting it for 11k.,buy camera quality extreme poor,got product today camera front back upto mark pixel scattered please buy phone getting 11k,buy camera quality extreme poor got product today camera front back upto mark pixel scattered please buy phone getting 11k,196,38
Overall Nice,Protap G.,4.0 out of 5 stars,4.0,on 20 September 2018,2018-09-20,Camera,"Overall really good.Fingerprint and Face unlock is really fast.No lag problems while working or gaming.
Back camera is awesome.
But,if you are a selfie lover so then you should not go with this.
It contains Ir blaster,there are no other phones provides that.",One person found this helpful,1,Overall Nice,"Overall really good.Fingerprint and Face unlock is really fast.No lag problems while working or gaming. Back camera is awesome. But,if you are a selfie lover so then you should not go with this. It contains Ir blaster,there are no other phones provides that.","Overall Nice Overall really good.Fingerprint and Face unlock is really fast.No lag problems while working or gaming. Back camera is awesome. But,if you are a selfie lover so then you should not go with this. It contains Ir blaster,there are no other phones provides that.",overall nice,overall really good.fingerprint face unlock really fast.no lag problem working gaming back camera awesome selfie lover contains blaster phone provides,overall nice overall really good.fingerprint face unlock really fast.no lag problem working gaming back camera awesome selfie lover contains blaster phone provides,271,45
Satisfied,Kamlesh Bajpai,4.0 out of 5 stars,4.0,on 15 September 2018,2018-09-15,Display,Very good phone at this price. Display quality perfect, ,0,Satisfied,Very good phone at this price. Display quality perfect,Satisfied Very good phone at this price. Display quality perfect,satisfied,good phone price display quality perfect,satisfied good phone price display quality perfect,64,10
Dual 4G support,Manoj Kumar,1.0 out of 5 stars,1.0,on 28 September 2018,2018-09-28,Others,I have purchsed this item and two jio sim are not working togeher. But in specification it is given that it supports dual 4g sim. What is this? Please dove my problem., ,0,Dual 4G support,I have purchsed this item and two jio sim are not working togeher. But in specification it is given that it supports dual 4g sim. What is this? Please dove my problem.,Dual 4G support I have purchsed this item and two jio sim are not working togeher. But in specification it is given that it supports dual 4g sim. What is this? Please dove my problem.,dual support,purchsed item two jio sim working togeher specification given support dual sim please dove problem,dual support purchsed item two jio sim working togeher specification given support dual sim please dove problem,183,35
Very good,Amazon Customer,4.0 out of 5 stars,4.0,on 25 September 2018,2018-09-25,Others,Good purchase nice phone with good features like 3 slots and face lock,3 people found this helpful,3,Very good,Good purchase nice phone with good features like 3 slots and face lock,Very good Good purchase nice phone with good features like 3 slots and face lock,good,good purchase nice phone good feature like slot face lock,good good purchase nice phone good feature like slot face lock,80,15
Not good as expected,Bidyut Majumder,1.0 out of 5 stars,1.0,on 20 September 2018,2018-09-20,Others,Do not buy., ,0,Not good as expected,Do not buy.,Not good as expected Do not buy.,good expected,buy,good expected buy,32,7
Heating issues and battery is not upto the mark.,anoop vp,1.0 out of 5 stars,1.0,on 24 September 2018,2018-09-24,Others,Phone has heating issue. Amazon return policy is very bad they will check our phone with blancco app. The app is designed to say phone is perfect always. Go for realme 2 much better phone and u can save 2000 rupees also., ,0,Heating issues and battery is not upto the mark.,Phone has heating issue. Amazon return policy is very bad they will check our phone with blancco app. The app is designed to say phone is perfect always. Go for realme 2 much better phone and u can save 2000 rupees also.,Heating issues and battery is not upto the mark. Phone has heating issue. Amazon return policy is very bad they will check our phone with blancco app. The app is designed to say phone is perfect always. Go for realme 2 much better phone and u can save 2000 rupees also.,heating issue battery upto mark,phone heating issue amazon return policy bad check phone blancco app app designed say phone perfect always realme much better phone save 2000 rupee also,heating issue battery upto mark phone heating issue amazon return policy bad check phone blancco app app designed say phone perfect always realme much better phone save 2000 rupee also,269,51
Wonder full mobile,SILAMBARASAN J,5.0 out of 5 stars,5.0,on 17 September 2018,2018-09-17,Display,"Amazing phone like a iphone
Nice built quality
Super camera
Super display
Better battery
Using in single hands to happy
Value for money", ,0,Wonder full mobile,Amazing phone like a iphone Nice built quality Super camera Super display Better battery Using in single hands to happy Value for money,Wonder full mobile Amazing phone like a iphone Nice built quality Super camera Super display Better battery Using in single hands to happy Value for money,wonder full mobile,amazing phone like iphone nice built quality super camera super display better battery using single hand happy value money,wonder full mobile amazing phone like iphone nice built quality super camera super display better battery using single hand happy value money,154,26
Value for money,Amazon Customer,5.0 out of 5 stars,5.0,on 15 September 2018,2018-09-15,Others,Best value for money, ,0,Value for money,Best value for money,Value for money Best value for money,value money,best value money,value money best value money,36,7
Batytery is not good mentioned 4000mah but not good,Amazon Customer,1.0 out of 5 stars,1.0,on 25 September 2018,2018-09-25,Battery,Please dont't bye camera is good but battery back up not good,,0,Batytery is not good mentioned 4000mah but not good,Please dont t bye camera is good but battery back up not good,Batytery is not good mentioned 4000mah but not good Please dont t bye camera is good but battery back up not good,batytery good mentioned 4000mah good,please dont bye camera good battery back good,batytery good mentioned 4000mah good please dont bye camera good battery back good,113,22
19:9 display awesome,Surendra namdev,5.0 out of 5 stars,5.0,on 19 September 2018,2018-09-19,Battery,i love it awesome phone 11k camera battery super b,,0,19 9 display awesome,i love it awesome phone 11k camera battery super b,19 9 display awesome i love it awesome phone 11k camera battery super b,display awesome,love awesome phone 11k camera battery super,display awesome love awesome phone 11k camera battery super,71,14
Nice mobile,Kuldeep Singh,4.0 out of 5 stars,4.0,on 24 September 2018,2018-09-24,Display,"This is a good mobile at this price.
Pros : Good display, fast processing and large battery.
Cons : Camera is good but nothing special having dual camera setup.",,0,Nice mobile,"This is a good mobile at this price. Pros Good display, fast processing and large battery. Cons Camera is good but nothing special having dual camera setup.","Nice mobile This is a good mobile at this price. Pros Good display, fast processing and large battery. Cons Camera is good but nothing special having dual camera setup.",nice mobile,good mobile price pro good display fast processing large battery con camera good nothing special dual camera setup,nice mobile good mobile price pro good display fast processing large battery con camera good nothing special dual camera setup,168,29
Dont Buy,Sameet S.,1.0 out of 5 stars,1.0,on 19 September 2018,2018-09-19,Battery,"Charging issue
Lagging issue
hanging issue
multiple issue.",,0,Dont Buy,Charging issue Lagging issue hanging issue multiple issue.,Dont Buy Charging issue Lagging issue hanging issue multiple issue.,dont buy,charging issue lagging issue hanging issue multiple issue,dont buy charging issue lagging issue hanging issue multiple issue,67,10
Nice mobile,Aniket,3.0 out of 5 stars,3.0,on 21 September 2018,2018-09-21,Camera,"Nice product
Front or rear camera thoda accha hona chahiye tha",,0,Nice mobile,Nice product Front or rear camera thoda accha hona chahiye tha,Nice mobile Nice product Front or rear camera thoda accha hona chahiye tha,nice mobile,nice product front rear camera thoda accha hona chahiye tha,nice mobile nice product front rear camera thoda accha hona chahiye tha,74,13
"Cemera quality,face unlock most important in this phone",Rahul,5.0 out of 5 stars,5.0,on 19 September 2018,2018-09-19,Others,"I like This Phone, Awesome look and design.
I'm using this phone",,0,"Cemera quality,face unlock most important in this phone","I like This Phone, Awesome look and design. I m using this phone","Cemera quality,face unlock most important in this phone I like This Phone, Awesome look and design. I m using this phone",cemera quality face unlock important phone,like phone awesome look design using phone,cemera quality face unlock important phone like phone awesome look design using phone,120,21
