Review Title,Customer name,Rating_Numeric,Combined_Text,Short_Summary,Detailed_Summary,Extractive_Summary,Word_Count
UNBOXING AND CAMERA SHOTS!,TECHBORED! Himanshu Chatra,5.0,"UNBOXING AND CAMERA SHOTS! Hey guys this is TECHBORED! and this is unboxing and also will adding some camera shots. IN THE BOX 1. Manuals with warranty information. 2. Charging cable. 3. 5V 2A power adapter. 4. Transparent TPU case. 5. Redmi 6 Pro. DESIGN 1. The transparent case fits well and is a perfect fit. Gives nice feel in hands. 2. It comes with a notch that is small and I really liked it, At least Xiaomi has tried to cut out the bezels at this budget segment. 3. It sports a FULL HD display with that 19 9 aspect ratio. 4. On the top of the phone there is this infrared sensor secondary noise cancellation microphone and wow there is this 3.5mm headphone jack. Always happy to see this port. 5. Now moving to the button than there is this micro USB port situated with microphone and the speaker that is loud but decent sounding speaker. 6. Redmi 6 Pro body is made up of both metal and plastic. So this is only where metal is used but on the top bottom and on the sides it is plastic. Also the sim tray is made up of plastic. Buttons are made up of metal thats nice and gives very nice feedback. DUAL 4G STANDBY There is DUAL SIM with dual 4G standby so you can use both sims on 4G at same time. And here is a good thing that I liked about this and it is that it has dedicated Micro SD card slot. FACE UNLOCK There is also the finger print sensor that is fast enough to unlock and it also come with this face unlock that is pretty fast and I think it is very much secure. At least it will not be unlocked with your pictures. CAMERA SETUP 1. The best thing that Xiaomi has put in to this Redmi 6 Pro and it is the same camera setup as on Redmi Note 5 Pro. So it has 12Mp with 5mp dual camera setup with aperture of 2.2 and the single LED flash in the middle. Just now I cannot tell in detail that how how camera performs but I have included some shots that are taken on Redmi 6 Pro and I think they are nice, decent and are almost the the same as on Redmi Note 5 Pro. 2. This camera setup can record upto 1080p videos at 30fps and it supports EIS and the videos are not much shaky and EIS performs well. Where as on the front is 5MP with aperture of 2.0 camera and its decent. HARDWARE 1. So it is powered with the same old Snaprdragon 625 and I think think that it is good for the budget smartphones for now and it performs well on this smartphone. 2. Redmi 6 Pro is backed up with 4000mAh battery that is great. 3. Running on Android 8.1 Oreo and on the top of that there is custom MIUI 9. It will soon get a stable update of MIUI10. 4. So the Redmi 6 pro comes in 3GB RAM with 32GB internal mermory and 4GB RAM with 64 GB internal memory variants.",redmi 6 Pro body is made up of both metal and plastic . it is only where metal is used but on the top bottom and on the sides it is plastic.,redmi 6 Pro body is made up of both metal and plastic . it is only where metal is used but on the top bottom and on the sides it is plastic. the sim tray is made u.s.-made .,The best thing that Xiaomi has put in to this Redmi 6 Pro and it is the same camera setup as on Redmi Note 5 Pro. So this is only where metal is used but on the top bottom and on the sides it is plastic.,532
Battery,Pardeep sharma,5.0,Battery NYC camera and battery backup,Battery NYC camera and battery backup,Battery NYC camera and battery backup,Battery NYC camera and battery backup,6
This Time Mi cheats..,aanik azad,1.0,This Time Mi cheats.. A very worst mobile in such a BiG cost paid.. in 11K rs. There are so many best mobiles are present in every company..The very disappointing thing is its front camera.in today selfie days there is a very dirty and disappointing front camra..a big loss of Rs..,a very worst mobile in such a BiG cost paid . in 11K rs. there are so many best mobiles present in every company .,a very worst mobile in such a BiG cost paid. in 11K rs. there are so many best mobiles present in every company . in today selfie days there is a dirty and disappointing front camra .,This Time Mi cheats.. A very worst mobile in such a BiG cost paid.. in 11K rs. There are so many best mobiles are present in every company..The very disappointing thing is its front camera.in today selfie days there is a very dirty and disappointing front camra..a big loss of Rs..,51
A compact power pack Device with great battery and a decent camera,kunal Sethi,5.0,A compact power pack Device with great battery and a decent camera This device feels great in hand because it is compact enough and doesn t feels bulky at all. Thanks to its notch display and 19 9 aspect ratio. Directly coming to its pros and cons after 1 day of use. will update soon Pros 1. Design Compact design as compared to redmi note 5 pro. 5.84 screen looks way too compact as compared to 6 in note 5 pro. Design 9 10 2. Rear Camera Rear Camera is fair enough. If note 5 pro is 20 then it s 19. It captures detailed image in good lights but struggles a bit in low light. Rating 8 10. 3. Audio 9 10 4. Looks like a typical Xiaomi Device. Still ok because it is having unibody metal design 8.5 10. 5. Price Price of this device is fair in all aspects. 10 10 Cons The only con I felt is front camera. If the camera would be at least 12 MP shooter then this deal would be great or I must say greatest. For people who are confused between realme 2 and redmi 6 pro I would suggest them to buy redmi 6 pro. Pls hit like if u thought this review was helpful.,design compact as compared to redmi note 5 pro . 5.84 screen looks way too compact and doesn t feel bulky at all . will update soon Pros 1.,design compact as compared to redmi note 5 pro . 5.84 screen looks way too compact and doesn t feel bulky at all . will update soon Pros 1 .,Design 9 10 2. Design Compact design as compared to redmi note 5 pro.,215
Good Phone but price HIGHER,MALLA TULASI SANKAR GANESH,4.0,"Good Phone but price HIGHER Pros Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand. Excellent Build Quality looks premium. Cons Outdated Snapdragon 625 processor, Rear Camera above average, Front camera below average, Speaker Sound is low, Charger Cable length is shortened. Recommend to buy if its price is 10000","good Phone but price HIGHER Pros Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand .","good Phone but price HIGHER Pros Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand . Recommend to buy if its price is 10000 .","Recommend to buy if its price is 10000 Good Phone but price HIGHER Pros Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand.",56
Best phone forever.,Manish Singh,5.0,Best phone forever. Best phone with face unlock full hd video recording and all latest features.,best phone with face unlock full hd video recording and all latest features . best phone forever .,best phone with face unlock full hd video recording and all latest features . best phone has face unlock and face unlock video recording . phone with all latest updates and latest features including face unlock .,Best phone forever. Best phone with face unlock full hd video recording and all latest features.,16
"Not impressive, Y2 is better",Mudasar Nazar,2.0,"Not impressive, Y2 is better Overall Phone seems to be good with performance perspective under this range category. Do not buy if you are looking for wider screen and thinner phone. I felt Y2 would have been better choice in the same range which I already brought one for the family. Not satisfied with the looks, screen size and it is a fatty phone.","Y2 is better Overall Phone with performance perspective . not satisfied with the looks, screen size and it is a fatty phone .","Y2 is better Overall Phone with performance perspective under this range category . not satisfied with the looks, screen size and it is a fatty phone . if you are looking for wider screen and thinner phone, y2 would have been better choice .","Not satisfied with the looks, screen size and it is a fatty phone. Not impressive, Y2 is better Overall Phone seems to be good with performance perspective under this range category.",64
"Very Terrible, Worst Smartphone.",Aniket Sidanale,1.0,"Very Terrible, Worst Smartphone. Looks is poor. Very bad Performance, Camera quality Totally Worst. Please everybody do not buy Redmi 6 pro. Go to Realme 2. I wasted my money.","Very Terrible, Worst Smartphone. Looks is poor. Very bad Performance, Camera quality Totally Worrt. Please everyone do not buy Redmi 6 pro.","Very Terrible, Worst Smartphone. Looks is poor. Very bad Performance, Camera quality Totally Worrt. Please everyone do not buy Redmi 6 pro. Go to Realme 2.","Very Terrible, Worst Smartphone. Very bad Performance, Camera quality Totally Worst.",30
Don't buy this mobile mi 6 pro,Vasudevan,1.0,"Don t buy this mobile mi 6 pro Very poor quality in front facing camera, and sound quality very poor, full display not working all apps, video clear videosnot good ,zoom photos not clear picture, rs 10999 not worth this mobile waste of many, return option not available this phone, return my phone please Amazon","don t buy this mobile mi 6 pro very poor quality in front facing camera, sound quality very poor, full display not working all apps, video clear videosnot good,zoom photos not clear picture, rs 10999 not worth this mobile waste of many.","don t buy this mobile mi 6 pro very poor quality in front facing camera, sound quality very poor, full display not working all apps, video clear videosnot good,zoom photos not clear picture, rs 10999 not worth this mobile waste of many.","Don t buy this mobile mi 6 pro Very poor quality in front facing camera, and sound quality very poor, full display not working all apps, video clear videosnot good ,zoom photos not clear picture, rs 10999 not worth this mobile waste of many, return option not available this phone, return my phone please Amazon",55
Good phone,Vaibhav Agarwal,5.0,Good phone I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phone and cover quality,good phone I loved the fact that Lenovo gave me such a nice transparent back cover . very happy with phone and cover quality.,good phone I loved the fact that Lenovo gave me such a nice transparent back cover . very happy with phone and cover quality . good phone and a very good cover. very pleased with the phone and the cover quality.,Good phone I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phone and cover quality,23
Disappointed.,Dinesh Kumar P,1.0,"Disappointed. Worst, don t go for it. Performance wise, camera wise, battery wise waste. Please go for any other good brand. In second time replacement also having the same front camera portrait issue, totally waste, audio quality is too low to audible.","in second time replacement also having the same front camera portrait issue, totally waste, audio quality is too low to audible.","performance wise, camera wise, battery wise waste . in second time replacement also having same front camera portrait issue . audio quality is too low to audible to advertent .","Worst, don t go for it. Please go for any other good brand.",42
dont buy these product. these copy of the product,KHAN SONU RAFI AHMED,1.0,"dont buy these product. these copy of the product Please don t buy these product.. I have 3 mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.","i have 3 mobile of MI but i did not face these type of issue . mobile data getting on and off automatically same things are happening with wifi, hot spot and bluetooth.","i have 3 mobile of MI but i did not face these type of issue . mobile data getting on and off automatically same things are happening with wifi, hot spot and bluetooth .",these copy of the product Please don t buy these product.. dont buy these product.,62
average phone,sarfaraz alam,3.0,"average phone after using two weeks i just analyse that it is a average phone in this price catagory. price should not be more than 10,000 for this phone. here i analyse some pros and cons of this phone after countinious using of this phone. PROS 1.screen resolution is preety good 1080 x 2280 pixels, colours contrast also very impressive. 2.two days battery backup if you not playing heavy games on it like PUBG. 3.Snapdragon 625 is old but till now it s performance is awsm ,you did not face any lag in games in low graphic setting. 4.camera pictures quality is good, also portrait mode captures the good depth effect in photos but only in Day light condition in night you will face high noice in pictures 5.front facing camera also have AI depth effect it not too much good but you can take good selfy in day light condition. 6.process optimization in this phone is good. 7.there are a little notch which increase the looks and design of phone. CONS 1.one thing i hate in this phone is its notifaction bar, you will not get all notification on top bar, every time you need to scroll down the ntification bar to see app notifications. net speed meter is also not shown and no whatsapp icon notification on the top of the bar. because of the notch on the screen. Mi company should needs to fix these minaor issues by new updatess. 2.Downloading process in background is little bit slow in this phone as compare to other redmi phones. 3. video recording quality of this phone is not good. 4.only 5MP front facing camera and quality is very average. in this price segment there are many phones avilabe which have better front cameras.","price should not be more than 10,000 for this phone . here i analyse some pros and cons of this phone after countinious use . PROS 1.screen resolution is preety good 1080 x 2280 pixels .","price should not be more than 10,000 for this phone . here i analyse some pros and cons of this phone after countinious using of it . PROS 1.screen resolution is preety good 1080 x 2280 pixels, colours contrast also very impressive .",6.process optimization in this phone is good. 3. video recording quality of this phone is not good.,294
A compact power pack Device with great battery and a decent camera,kunal Sethi,5.0,A compact power pack Device with great battery and a decent camera This device feels great in hand because it is compact enough and doesn t feels bulky at all. Thanks to its notch display and 19 9 aspect ratio. Directly coming to its pros and cons after 1 day of use. will update soon Pros 1. Design Compact design as compared to redmi note 5 pro. 5.84 screen looks way too compact as compared to 6 in note 5 pro. Design 9 10 2. Rear Camera Rear Camera is fair enough. If note 5 pro is 20 then it s 19. It captures detailed image in good lights but struggles a bit in low light. Rating 8 10. 3. Audio 9 10 4. Looks like a typical Xiaomi Device. Still ok because it is having unibody metal design 8.5 10. 5. Price Price of this device is fair in all aspects. 10 10 Cons The only con I felt is front camera. If the camera would be at least 12 MP shooter then this deal would be great or I must say greatest. For people who are confused between realme 2 and redmi 6 pro I would suggest them to buy redmi 6 pro. Pls hit like if u thought this review was helpful.,design compact as compared to redmi note 5 pro . 5.84 screen looks way too compact and doesn t feel bulky at all . will update soon Pros 1.,design compact as compared to redmi note 5 pro . 5.84 screen looks way too compact and doesn t feel bulky at all . will update soon Pros 1 .,Design 9 10 2. Design Compact design as compared to redmi note 5 pro.,215
Good Phone but price HIGHER,MALLA TULASI SANKAR GANESH,4.0,"Good Phone but price HIGHER Pros Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand. Excellent Build Quality looks premium. Cons Outdated Snapdragon 625 processor, Rear Camera above average, Front camera below average, Speaker Sound is low, Charger Cable length is shortened. Recommend to buy if its price is 10000","good Phone but price HIGHER Pros Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand .","good Phone but price HIGHER Pros Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand . Recommend to buy if its price is 10000 .","Recommend to buy if its price is 10000 Good Phone but price HIGHER Pros Good Display, Better Battey Performance, Proper Phone size to fit in a wallet or hand.",56
Best phone forever.,Manish Singh,5.0,Best phone forever. Best phone with face unlock full hd video recording and all latest features.,best phone with face unlock full hd video recording and all latest features . best phone forever .,best phone with face unlock full hd video recording and all latest features . best phone has face unlock and face unlock video recording . phone with all latest updates and latest features including face unlock .,Best phone forever. Best phone with face unlock full hd video recording and all latest features.,16
"Not impressive, Y2 is better",Mudasar Nazar,2.0,"Not impressive, Y2 is better Overall Phone seems to be good with performance perspective under this range category. Do not buy if you are looking for wider screen and thinner phone. I felt Y2 would have been better choice in the same range which I already brought one for the family. Not satisfied with the looks, screen size and it is a fatty phone.","Y2 is better Overall Phone with performance perspective . not satisfied with the looks, screen size and it is a fatty phone .","Y2 is better Overall Phone with performance perspective under this range category . not satisfied with the looks, screen size and it is a fatty phone . if you are looking for wider screen and thinner phone, y2 would have been better choice .","Not satisfied with the looks, screen size and it is a fatty phone. Not impressive, Y2 is better Overall Phone seems to be good with performance perspective under this range category.",64
"Very Terrible, Worst Smartphone.",Aniket Sidanale,1.0,"Very Terrible, Worst Smartphone. Looks is poor. Very bad Performance, Camera quality Totally Worst. Please everybody do not buy Redmi 6 pro. Go to Realme 2. I wasted my money.","Very Terrible, Worst Smartphone. Looks is poor. Very bad Performance, Camera quality Totally Worrt. Please everyone do not buy Redmi 6 pro.","Very Terrible, Worst Smartphone. Looks is poor. Very bad Performance, Camera quality Totally Worrt. Please everyone do not buy Redmi 6 pro. Go to Realme 2.","Very Terrible, Worst Smartphone. Very bad Performance, Camera quality Totally Worst.",30
Don't buy this mobile mi 6 pro,Vasudevan,1.0,"Don t buy this mobile mi 6 pro Very poor quality in front facing camera, and sound quality very poor, full display not working all apps, video clear videosnot good ,zoom photos not clear picture, rs 10999 not worth this mobile waste of many, return option not available this phone, return my phone please Amazon","don t buy this mobile mi 6 pro very poor quality in front facing camera, sound quality very poor, full display not working all apps, video clear videosnot good,zoom photos not clear picture, rs 10999 not worth this mobile waste of many.","don t buy this mobile mi 6 pro very poor quality in front facing camera, sound quality very poor, full display not working all apps, video clear videosnot good,zoom photos not clear picture, rs 10999 not worth this mobile waste of many.","Don t buy this mobile mi 6 pro Very poor quality in front facing camera, and sound quality very poor, full display not working all apps, video clear videosnot good ,zoom photos not clear picture, rs 10999 not worth this mobile waste of many, return option not available this phone, return my phone please Amazon",55
Good phone,Vaibhav Agarwal,5.0,Good phone I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phone and cover quality,good phone I loved the fact that Lenovo gave me such a nice transparent back cover . very happy with phone and cover quality.,good phone I loved the fact that Lenovo gave me such a nice transparent back cover . very happy with phone and cover quality . good phone and a very good cover. very pleased with the phone and the cover quality.,Good phone I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phone and cover quality,23
Disappointed.,Dinesh Kumar P,1.0,"Disappointed. Worst, don t go for it. Performance wise, camera wise, battery wise waste. Please go for any other good brand. In second time replacement also having the same front camera portrait issue, totally waste, audio quality is too low to audible.","in second time replacement also having the same front camera portrait issue, totally waste, audio quality is too low to audible.","performance wise, camera wise, battery wise waste . in second time replacement also having same front camera portrait issue . audio quality is too low to audible to advertent .","Worst, don t go for it. Please go for any other good brand.",42
dont buy these product. these copy of the product,KHAN SONU RAFI AHMED,1.0,"dont buy these product. these copy of the product Please don t buy these product.. I have 3 mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.","i have 3 mobile of MI but i did not face these type of issue . mobile data getting on and off automatically same things are happening with wifi, hot spot and bluetooth.","i have 3 mobile of MI but i did not face these type of issue . mobile data getting on and off automatically same things are happening with wifi, hot spot and bluetooth .",these copy of the product Please don t buy these product.. dont buy these product.,62
average phone,sarfaraz alam,3.0,"average phone after using two weeks i just analyse that it is a average phone in this price catagory. price should not be more than 10,000 for this phone. here i analyse some pros and cons of this phone after countinious using of this phone. PROS 1.screen resolution is preety good 1080 x 2280 pixels, colours contrast also very impressive. 2.two days battery backup if you not playing heavy games on it like PUBG. 3.Snapdragon 625 is old but till now it s performance is awsm ,you did not face any lag in games in low graphic setting. 4.camera pictures quality is good, also portrait mode captures the good depth effect in photos but only in Day light condition in night you will face high noice in pictures 5.front facing camera also have AI depth effect it not too much good but you can take good selfy in day light condition. 6.process optimization in this phone is good. 7.there are a little notch which increase the looks and design of phone. CONS 1.one thing i hate in this phone is its notifaction bar, you will not get all notification on top bar, every time you need to scroll down the ntification bar to see app notifications. net speed meter is also not shown and no whatsapp icon notification on the top of the bar. because of the notch on the screen. Mi company should needs to fix these minaor issues by new updatess. 2.Downloading process in background is little bit slow in this phone as compare to other redmi phones. 3. video recording quality of this phone is not good. 4.only 5MP front facing camera and quality is very average. in this price segment there are many phones avilabe which have better front cameras.","price should not be more than 10,000 for this phone . here i analyse some pros and cons of this phone after countinious use . PROS 1.screen resolution is preety good 1080 x 2280 pixels .","price should not be more than 10,000 for this phone . here i analyse some pros and cons of this phone after countinious using of it . PROS 1.screen resolution is preety good 1080 x 2280 pixels, colours contrast also very impressive .",6.process optimization in this phone is good. 3. video recording quality of this phone is not good.,294
"Bad experience ever battery% doesn't show.Low quality flash light, Sound very low..Nnot a metal",Subbhajit jana,1.0,"Bad experience ever battery doesn t show.Low quality flash light, Sound very low..Nnot a metal Bad experience ever battery doesn t show.Low quality flash light, Sound very low..Nnot a metal body.cheaper metal used Only Display quality is excellent... price should be 9000 9500.Damaged charger given Amazon is cheating people","bad experience ever battery doesn t show.Low quality flash light, Sound very low..Nnot a metal body.cheaper metal used Only Display quality is excellent... price should be 9000 9500.Damaged charger given amazon cheating people .","bad experience ever battery doesn t show.Low quality flash light, Sound very low..Nnot a metal body.cheaper metal used Only Display quality is excellent... price should be 9000 9500.Damaged charger given amazon cheating people .","Bad experience ever battery doesn t show.Low quality flash light, Sound very low..Nnot a metal Bad experience ever battery doesn t show.Low quality flash light, Sound very low..Nnot a metal body.cheaper metal used Only Display quality is excellent... price should be 9000 9500.Damaged charger given Amazon is cheating people",49
"Redmi 6 pro looking good, better performance.",Sanu,5.0,"Redmi 6 pro looking good, better performance. Good","Redmi 6 pro looking good, better performance. Good","Redmi 6 pro looking good, better performance. Good","Redmi 6 pro looking good, better performance. Good",8
I love mi 6 pro,Anuj kr gupta,5.0,I love mi 6 pro Osm product Amazon is better then flipkart I never buy on 1st sale of mi phones on flipkart but in Amazon I order 2 phones in 1st sale quickly This phone is very good and it s battery backup is amazing I love it very much And it s camera is very good quality,i love mi 6 pro Osm product amazon is better than flipkart . in amazon I order 2 phones in 1st sale quickly This phone is very good .,i love mi 6 pro Osm product amazon is better than flipkart . in amazon I order 2 phones in 1st sale quickly This phone is very good and it s battery backup is amazing I love it very much .,I love mi 6 pro Osm product Amazon is better then flipkart I never buy on 1st sale of mi phones on flipkart but in Amazon I order 2 phones in 1st sale quickly This phone is very good and it s battery backup is amazing I love it very much And it s camera is very good quality,59
Always Mi Best in Mobile ??,Manish Bavaliya ,5.0,"Always Mi Best in Mobile ?? Very nice looking, slim, light weight, sound quality, battery back up... all factors are nice...MI 6 Pro is Nice mobile satisfied with prize and quality what I expected before purchasing.","always Mi Best in Mobile ?? Very nice looking, slim, light weight, sound quality, battery back up... all factors are nice...MI 6 Pro is Nice mobile satisfied with prize and quality what I expected before purchasing .","always Mi Best in Mobile ?? Very nice looking, slim, light weight, sound quality, battery back up... all factors are nice...MI 6 Pro is Nice mobile satisfied with prize and quality what I expected before purchasing .","Very nice looking, slim, light weight, sound quality, battery back up... all factors are nice...MI 6 Pro is Nice mobile satisfied with prize and quality what I expected before purchasing. Always Mi Best in Mobile ?",36
I am satisfying this phone,Jit saha,5.0,I am satisfying this phone Bettary so good,I am satisfying this phone Bettary so good,I am satisfying this phone Bettary so good,I am satisfying this phone Bettary so good,8
excellent this redmi 6 Pro,Dalowar,5.0,excellent this redmi 6 Pro excellent this redmi 6 Pro so nice product of redmi product thank you for xiaomi,excellent this redmi 6 Pro . excellent this product thank you for xiaomi product .,excellent this redmi 6 Pro . excellent this product thank you for xiaomi product . xioma .. . the redmis 6 Pro so nice product thanks you for the .,excellent this redmi 6 Pro excellent this redmi 6 Pro so nice product of redmi product thank you for xiaomi,20
It Hangs,Ranjeet,1.0,"It Hangs After using it for 10 days, I am writing it, this phone as well MI A2 Hangs, please do not purchase.","It Hangs After using it for 10 days, I am writing it, this phone as well MI A2 Hangs, please do not purchase.","it Hangs After using it for 10 days, I am writing it, this phone as well as MI A2 Hangs, please do not purchase . the phone is a phone that I have used for 10 years .","It Hangs After using it for 10 days, I am writing it, this phone as well MI A2 Hangs, please do not purchase.",23
Value for money...,Amazon Customer,5.0,"Value for money... Working good with Snapdragon 625 which is its best part. Camera is also good in this price range, camera clarity is good. Just go for it..","Snapdragon 625 is its best part . camera is also good in this price range, camera clarity is good .","Snapdragon 625 is its best part . camera is also good in this price range, camera clarity is good . just go for it. if you are looking for a camera, it's a good choice .","Working good with Snapdragon 625 which is its best part. Camera is also good in this price range, camera clarity is good.",29
Rock u,KALINDI DEVI,5.0,Rock u Really nice one Thankd,Rock u Really nice one Thankd,Rock u Really nice one Thankd,Rock u Really nice one Thankd,6
Good for sharp use,Shankar,4.0,Good for sharp use Dislike snapdragon 425,Good for sharp use Dislike snapdragon 425,Good for sharp use Dislike snapdragon 425,Good for sharp use Dislike snapdragon 425,7
turn out amazing to be amazing worth it,Pranay chaudhari,5.0,"turn out amazing to be amazing worth it the camera is good, phone is fast overall work well in all department","turn out amazing to be amazing worth it the camera is good, phone is fast overall work well in all department .","turn out amazing to be amazing worth it the camera is good, phone is fast overall work well in all department department . camera and phone are good . phone is quick overall work in all departments .","turn out amazing to be amazing worth it the camera is good, phone is fast overall work well in all department",21
Don't buy camera quality extreme poor.,shivam p.,1.0,Don t buy camera quality extreme poor. I got this product today camera both front and back are not upto mark. Pixels are scattered. Please don t buy this phone just because u r getting it for 11k.,I got this product today camera both front and back are not upto mark. Pixels are scattered. Please don t buy this phone just because u r getting it for 11k.,I got this product today camera both front and back are not upto mark. Pixels are scattered. Please don t buy this phone just because u r getting it for 11k.,Don t buy camera quality extreme poor. I got this product today camera both front and back are not upto mark.,38
Overall Nice,Protap G.,4.0,"Overall Nice Overall really good.Fingerprint and Face unlock is really fast.No lag problems while working or gaming. Back camera is awesome. But,if you are a selfie lover so then you should not go with this. It contains Ir blaster,there are no other phones provides that.",Overall Nice Overall really good.Fingerprint and Face unlock is really fast.No lag problems while working or gaming .,"Overall Nice Overall really good.Fingerprint and Face unlock is really fast.No lag problems while working or gaming . back camera is awesome. but,if you are a selfie lover then you should not go with this .","Overall Nice Overall really good.Fingerprint and Face unlock is really fast.No lag problems while working or gaming. It contains Ir blaster,there are no other phones provides that.",45
Satisfied,Kamlesh Bajpai,4.0,Satisfied Very good phone at this price. Display quality perfect,Satisfactiond Very good phone at this price . Display quality perfect for the phone .,"Satisfactiond Very good phone at this price . Display quality perfect for a phone with a good display . if you have a problem with the phone, it's a great phone .",Satisfied Very good phone at this price. Display quality perfect,10
Dual 4G support,Manoj Kumar,1.0,Dual 4G support I have purchsed this item and two jio sim are not working togeher. But in specification it is given that it supports dual 4g sim. What is this? Please dove my problem.,dual 4G support I have purchsed this item and two jio sim are not working togeher . but in specification it is given that it supports dual 4g sim .,dual 4G support I have purchsed this item and two jio sim are not working togeher . but in specification it is given that it supports dual 4g sim .,But in specification it is given that it supports dual 4g sim. Dual 4G support I have purchsed this item and two jio sim are not working togeher.,35
Very good,Amazon Customer,4.0,Very good Good purchase nice phone with good features like 3 slots and face lock,very good phone with good features like 3 slots and face lock . nice phone with nice features like face lock and 3 slots .,good phone with good features like 3 slots and face lock . nice phone with nice features like face lock and face locks . good phone . great phone with great features like . 3 slots .,Very good Good purchase nice phone with good features like 3 slots and face lock,15
Not good as expected,Bidyut Majumder,1.0,Not good as expected Do not buy.,Not good as expected Do not buy.,Not good as expected Do not buy.,Not good as expected Do not buy.,7
Heating issues and battery is not upto the mark.,anoop vp,1.0,Heating issues and battery is not upto the mark. Phone has heating issue. Amazon return policy is very bad they will check our phone with blancco app. The app is designed to say phone is perfect always. Go for realme 2 much better phone and u can save 2000 rupees also.,phone has heating issue and battery is not up to the mark . amazon return policy is very bad they will check phone with blancco app .,phone has heating issues and battery is not up to the mark . amazon return policy is very bad they will check our phone with blancco app . u can save 2000 rupees also .,The app is designed to say phone is perfect always. Heating issues and battery is not upto the mark.,51
Wonder full mobile,SILAMBARASAN J,5.0,Wonder full mobile Amazing phone like a iphone Nice built quality Super camera Super display Better battery Using in single hands to happy Value for money,Wonder full mobile Amazing phone like a iphone Nice built quality Super camera Super display Better battery Using in single hands to happy Value for money .,Wonder full mobile Amazing phone like a iphone Nice built quality Super camera Super display Better battery Using in single hands to happy Value for money . a great iphone ipad .,Wonder full mobile Amazing phone like a iphone Nice built quality Super camera Super display Better battery Using in single hands to happy Value for money,26
Value for money,Amazon Customer,5.0,Value for money Best value for money,Value for money Best value for money,Value for money Best value for money,Value for money Best value for money,7
Batytery is not good mentioned 4000mah but not good,Amazon Customer,1.0,Batytery is not good mentioned 4000mah but not good Please dont t bye camera is good but battery back up not good,batytery is not good mentioned 4000mah but not good Please dont t bye camera is good but battery back up not good .,"batytery is not good mentioned 4000mah but not good Please dont t bye camera is good but battery back up not good . if you have a camera, it is a good camera .",Batytery is not good mentioned 4000mah but not good Please dont t bye camera is good but battery back up not good,22
19:9 display awesome,Surendra namdev,5.0,19 9 display awesome i love it awesome phone 11k camera battery super b,19 9 display awesome i love it awesome phone 11k camera battery super b .,19 9 display awesome i love it awesome phone 11k camera battery super bb . i loved it amazing phone . 19 9 . display awesome phone i LOVE it awesome .,19 9 display awesome i love it awesome phone 11k camera battery super b,14
Nice mobile,Kuldeep Singh,4.0,"Nice mobile This is a good mobile at this price. Pros Good display, fast processing and large battery. Cons Camera is good but nothing special having dual camera setup.","Nice mobile This is a good mobile at this price. Pros Good display, fast processing and large battery. Cons Camera is good but nothing special having dual camera setup.","Nice mobile This is a good mobile at this price . Pros Good display, fast processing and large battery . Cons Camera is good but nothing special having dual camera setups .",Cons Camera is good but nothing special having dual camera setup. Nice mobile This is a good mobile at this price.,29
Dont Buy,Sameet S.,1.0,Dont Buy Charging issue Lagging issue hanging issue multiple issue.,Dont Buy Charging issue Lagging issue multiple issue . dont buycharging issue hanging issue.,"Dont Buy Charging issue Lagging issue multiple issue . dont buycharging issue hanging issue single issue - if you're looking for a new issue, don't worry.",Dont Buy Charging issue Lagging issue hanging issue multiple issue.,10
Nice mobile,Aniket,3.0,Nice mobile Nice product Front or rear camera thoda accha hona chahiye tha,Nice mobile Nice product Front or rear camera thoda accha hona chahiye tha .,Nice mobile Nice product Front or rear camera thoda accha hona chahiye tha . nice mobile . Nice product front or rear cameras .,Nice mobile Nice product Front or rear camera thoda accha hona chahiye tha,13
"Cemera quality,face unlock most important in this phone",Rahul,5.0,"Cemera quality,face unlock most important in this phone I like This Phone, Awesome look and design. I m using this phone","cemera quality,face unlock most important in this phone I like this phone . I like This Phone, Awesome look and design .","cemera quality,face unlock most important in this phone I like this phone . i m using this phone, Awesome look and design . this phone is a great phone for me .","Cemera quality,face unlock most important in this phone I like This Phone, Awesome look and design. I m using this phone",21
Mi is best phone,Sunil Soni,4.0,Mi is best phone Product is avasome but invoice is note include......,Mi is best phone Product is avasome but invoice is note include . ..,Mi is best phone Product is avasome but invoice is note include . . the phone is not a phone . but . it is a very good phone product .,Mi is best phone Product is avasome but invoice is note include......,12
